* Measurement data saved by REW V5.13 Beta 7
* Source: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), Left channel, volume: 0.530
* Format:   1M Log Swept Sine, 1 sweep at -23.0 dB FS
* Dated: 12-Sep-2015 19:46:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 12 19:46:57
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 73.331 -138.854
20.508 73.279 -136.315
20.874 73.560 -131.675
21.240 74.359 -127.168
21.606 75.522 -125.074
21.973 76.749 -125.996
22.339 77.827 -129.333
22.705 78.652 -134.211
23.071 79.180 -139.814
23.438 79.397 -145.332
23.804 79.320 -149.840
24.170 79.044 -152.292
24.536 78.795 -151.952
24.902 78.896 -149.482
25.269 79.493 -147.362
25.635 80.367 -147.870
26.001 81.163 -151.313
26.367 81.647 -156.641
26.733 81.727 -162.471
27.100 81.409 -167.456
27.466 80.786 -170.399
27.832 80.035 -170.469
28.198 79.389 -167.619
28.564 79.027 -162.714
28.931 79.003 -156.912
29.297 79.287 -151.046
29.663 79.831 -145.718
30.029 80.546 -141.315
30.396 81.335 -137.685
30.762 82.185 -134.250
31.128 83.192 -130.799
31.494 84.445 -128.107
31.860 85.869 -127.314
32.227 87.262 -128.703
32.593 88.461 -131.458
32.959 89.444 -134.259
33.325 90.354 -136.037
33.691 91.437 -136.856
34.058 92.850 -138.282
34.424 94.488 -142.161
34.790 96.095 -149.126
35.156 97.460 -158.672
35.522 98.472 -169.898
35.889 99.088 178.090
36.255 99.309 166.098
36.621 99.161 154.881
36.987 98.708 145.149
37.354 98.059 137.487
37.720 97.374 132.081
38.086 96.815 128.410
38.452 96.444 125.362
38.818 96.187 121.976
39.185 95.914 118.039
39.551 95.535 113.982
39.917 95.042 110.418
40.283 94.497 107.728
40.649 93.976 105.831
41.016 93.510 104.294
41.382 93.060 102.742
41.748 92.558 101.202
42.114 91.965 100.097
42.480 91.308 99.957
42.847 90.676 101.049
43.213 90.165 103.115
43.579 89.816 105.500
43.945 89.585 107.638
44.312 89.395 109.384
44.678 89.194 110.940
45.044 88.968 112.607
45.410 88.731 114.611
45.776 88.507 117.080
46.143 88.325 120.078
46.509 88.216 123.615
46.875 88.220 127.609
47.241 88.371 131.850
47.607 88.690 136.021
47.974 89.178 139.750
48.340 89.814 142.662
48.706 90.553 144.439
49.072 91.332 144.899
49.438 92.081 144.038
49.805 92.738 142.029
50.171 93.255 139.161
50.537 93.605 135.789
50.903 93.776 132.291
51.270 93.774 129.042
51.636 93.621 126.398
52.002 93.357 124.664
52.368 93.040 124.042
52.734 92.736 124.569
53.101 92.508 126.082
53.467 92.397 128.263
53.833 92.414 130.765
54.199 92.545 133.328
54.565 92.772 135.830
54.932 93.083 138.258
55.298 93.481 140.634
55.664 93.987 142.929
56.030 94.630 144.956
56.396 95.424 146.336
56.763 96.346 146.596
57.129 97.334 145.370
57.495 98.303 142.536
57.861 99.174 138.225
58.228 99.887 132.727
58.594 100.405 126.405
58.960 100.710 119.639
59.326 100.799 112.794
59.692 100.681 106.214
60.059 100.381 100.209
60.425 99.933 95.030
60.791 99.383 90.841
61.157 98.780 87.683
61.523 98.169 85.464
61.890 97.577 84.007
62.256 97.011 83.138
62.622 96.467 82.765
62.988 95.942 82.899
63.354 95.444 83.595
63.721 94.993 84.876
64.087 94.616 86.684
64.453 94.330 88.887
64.819 94.146 91.330
65.186 94.068 93.868
65.552 94.097 96.351
65.918 94.230 98.607
66.284 94.451 100.454
66.650 94.735 101.763
67.017 95.049 102.499
67.383 95.364 102.727
67.749 95.663 102.566
68.115 95.941 102.141
68.481 96.201 101.555
68.848 96.448 100.872
69.214 96.695 100.119
69.580 96.951 99.278
69.946 97.226 98.282
70.312 97.523 97.016
70.679 97.833 95.351
71.045 98.137 93.183
71.411 98.407 90.479
71.777 98.615 87.292
72.144 98.738 83.748
72.510 98.764 80.017
72.876 98.689 76.282
73.242 98.520 72.707
73.608 98.272 69.420
73.975 97.962 66.499
74.341 97.606 63.968
74.707 97.217 61.820
75.073 96.804 60.034
75.439 96.368 58.601
75.806 95.915 57.540
76.172 95.447 56.882
76.538 94.975 56.655
76.904 94.511 56.864
77.271 94.064 57.482
77.637 93.643 58.469
78.003 93.250 59.790
78.369 92.889 61.429
78.735 92.565 63.381
79.102 92.288 65.626
79.468 92.066 68.126
79.834 91.906 70.815
80.200 91.816 73.614
80.566 91.796 76.434
80.933 91.846 79.174
81.299 91.957 81.742
81.665 92.119 84.075
82.031 92.317 86.157
82.397 92.542 88.014
82.764 92.790 89.685
83.130 93.062 91.188
83.496 93.361 92.516
83.862 93.684 93.643
84.229 94.030 94.551
84.595 94.394 95.235
84.961 94.776 95.695
85.327 95.174 95.922
85.693 95.587 95.893
86.060 96.014 95.578
86.426 96.448 94.951
86.792 96.885 93.990
87.158 97.318 92.676
87.524 97.739 90.989
87.891 98.139 88.918
88.257 98.505 86.465
88.623 98.825 83.662
88.989 99.087 80.567
89.355 99.285 77.257
89.722 99.414 73.813
90.088 99.475 70.306
90.454 99.470 66.792
90.820 99.397 63.316
91.187 99.258 59.925
91.553 99.050 56.682
91.919 98.774 53.670
92.285 98.435 50.991
92.651 98.043 48.750
93.018 97.618 47.027
93.384 97.181 45.855
93.750 96.758 45.198
94.116 96.366 44.964
94.482 96.015 45.032
94.849 95.706 45.289
95.215 95.436 45.652
95.581 95.200 46.070
95.947 94.994 46.505
96.313 94.814 46.918
96.680 94.656 47.270
97.046 94.512 47.525
97.412 94.371 47.676
97.778 94.222 47.747
98.145 94.058 47.800
98.511 93.876 47.923
98.877 93.683 48.200
99.243 93.495 48.673
99.609 93.328 49.308
99.976 93.192 49.995
100.342 93.084 50.594
100.708 92.985 51.014
101.074 92.872 51.261
101.440 92.728 51.440
101.807 92.547 51.705
102.173 92.340 52.189
102.539 92.124 52.959
102.905 91.916 54.010
103.271 91.729 55.301
103.638 91.567 56.788
104.004 91.438 58.439
104.370 91.346 60.212
104.736 91.296 62.040
105.103 91.286 63.847
105.469 91.310 65.588
105.835 91.360 67.266
106.201 91.436 68.907
106.567 91.544 70.511
106.934 91.690 72.034
107.300 91.874 73.409
107.666 92.092 74.580
108.032 92.344 75.508
108.398 92.627 76.130
108.765 92.941 76.319
109.131 93.265 75.920
109.497 93.562 74.828
109.863 93.786 73.085
110.229 93.890 70.903
110.596 93.849 68.636
110.962 93.665 66.703
111.328 93.370 65.494
111.694 93.025 65.251
112.061 92.704 65.960
112.427 92.463 67.335
112.793 92.315 68.968
113.159 92.237 70.557
113.525 92.190 72.034
113.892 92.151 73.509
114.258 92.122 75.133
114.624 92.123 76.979
114.990 92.175 78.997
115.356 92.294 81.048
115.723 92.476 82.973
116.089 92.712 84.648
116.455 92.985 86.004
116.821 93.278 87.019
117.188 93.579 87.703
117.554 93.875 88.090
117.920 94.158 88.226
118.286 94.423 88.160
118.652 94.669 87.939
119.019 94.894 87.602
119.385 95.099 87.183
119.751 95.283 86.709
120.117 95.448 86.212
120.483 95.596 85.719
120.850 95.731 85.248
121.216 95.857 84.801
121.582 95.977 84.364
121.948 96.090 83.920
122.314 96.192 83.472
122.681 96.280 83.052
123.047 96.355 82.720
123.413 96.426 82.531
123.779 96.510 82.495
124.146 96.622 82.542
124.512 96.769 82.540
124.878 96.943 82.341
125.244 97.124 81.860
125.610 97.287 81.115
125.977 97.414 80.225
126.343 97.505 79.351
126.709 97.573 78.623
127.075 97.645 78.063
127.441 97.744 77.562
127.808 97.872 76.917
128.174 98.012 75.940
128.540 98.126 74.560
128.906 98.177 72.867
129.272 98.139 71.084
129.639 98.005 69.508
130.005 97.795 68.423
130.371 97.547 68.024
130.737 97.312 68.351
131.104 97.132 69.266
131.470 97.034 70.517
131.836 97.016 71.848
132.202 97.064 73.085
132.568 97.159 74.152
132.935 97.287 75.032
133.301 97.441 75.719
133.667 97.614 76.202
134.033 97.799 76.462
134.399 97.988 76.487
134.766 98.168 76.289
135.132 98.330 75.908
135.498 98.467 75.415
135.864 98.575 74.901
136.230 98.660 74.455
136.597 98.733 74.137
136.963 98.807 73.959
137.329 98.893 73.884
137.695 98.996 73.849
138.062 99.114 73.802
138.428 99.242 73.717
138.794 99.376 73.598
139.160 99.515 73.459
139.526 99.660 73.314
139.893 99.812 73.171
140.259 99.974 73.035
140.625 100.150 72.904
140.991 100.345 72.757
141.357 100.563 72.560
141.724 100.806 72.268
142.090 101.071 71.843
142.456 101.359 71.257
142.822 101.668 70.480
143.188 102.001 69.466
143.555 102.355 68.152
143.921 102.724 66.470
144.287 103.097 64.377
144.653 103.464 61.852
145.020 103.819 58.882
145.386 104.154 55.426
145.752 104.457 51.420
146.118 104.706 46.803
146.484 104.870 41.569
146.851 104.913 35.807
147.217 104.802 29.712
147.583 104.517 23.564
147.949 104.053 17.697
148.315 103.425 12.444
148.682 102.668 8.075
149.048 101.828 4.732
149.414 100.947 2.405
149.780 100.055 0.991
150.146 99.157 0.432
150.513 98.263 0.803
150.879 97.407 2.259
151.245 96.657 4.793
151.611 96.086 8.010
151.978 95.711 11.205
152.344 95.471 13.789
152.710 95.273 15.606
153.076 95.048 16.877
153.442 94.768 17.945
153.809 94.436 19.087
154.175 94.065 20.476
154.541 93.668 22.242
154.907 93.263 24.532
155.273 92.885 27.473
155.640 92.584 31.048
156.006 92.407 35.010
156.372 92.367 38.959
156.738 92.439 42.560
157.104 92.582 45.677
157.471 92.766 48.330
157.837 92.975 50.565
158.203 93.201 52.375
158.569 93.427 53.733
158.936 93.628 54.655
159.302 93.781 55.253
159.668 93.869 55.717
160.034 93.894 56.269
160.400 93.873 57.104
160.767 93.835 58.332
161.133 93.815 59.951
161.499 93.838 61.854
161.865 93.918 63.871
162.231 94.055 65.838
162.598 94.235 67.643
162.964 94.448 69.235
163.330 94.684 70.607
163.696 94.937 71.760
164.062 95.204 72.683
164.429 95.485 73.341
164.795 95.770 73.689
165.161 96.049 73.694
165.527 96.304 73.355
165.894 96.518 72.723
166.260 96.678 71.899
166.626 96.775 71.022
166.992 96.810 70.248
167.358 96.792 69.732
167.725 96.739 69.606
168.091 96.679 69.952
168.457 96.646 70.767
168.823 96.674 71.922
169.189 96.781 73.170
169.556 96.963 74.217
169.922 97.186 74.854
170.288 97.407 75.047
170.654 97.591 74.935
171.021 97.725 74.759
171.387 97.822 74.743
171.753 97.912 74.992
172.119 98.026 75.447
172.485 98.179 75.927
172.852 98.363 76.254
173.218 98.552 76.354
173.584 98.725 76.288
173.950 98.873 76.195
174.316 99.004 76.209
174.683 99.136 76.385
175.049 99.289 76.688
175.415 99.471 77.025
175.781 99.682 77.308
176.147 99.914 77.493
176.514 100.164 77.573
176.880 100.431 77.541
177.246 100.718 77.364
177.612 101.019 76.986
177.979 101.325 76.372
178.345 101.624 75.540
178.711 101.908 74.564
179.077 102.180 73.526
179.443 102.455 72.455
179.810 102.744 71.294
180.176 103.051 69.922
180.542 103.362 68.231
180.908 103.655 66.201
181.274 103.914 63.903
181.641 104.133 61.458
182.007 104.322 58.954
182.373 104.494 56.394
182.739 104.656 53.693
183.105 104.801 50.750
183.472 104.910 47.524
183.838 104.961 44.074
184.204 104.943 40.537
184.570 104.861 37.062
184.937 104.731 33.735
185.303 104.570 30.538
185.669 104.387 27.372
186.035 104.173 24.129
186.401 103.906 20.772
186.768 103.564 17.372
187.134 103.132 14.085
187.500 102.608 11.097
187.866 102.002 8.566
188.232 101.331 6.600
188.599 100.607 5.270
188.965 99.842 4.653
189.331 99.050 4.863
189.697 98.261 6.021
190.063 97.517 8.176
190.430 96.868 11.207
190.796 96.345 14.836
191.162 95.952 18.754
191.528 95.673 22.765
191.895 95.494 26.811
192.261 95.418 30.863
192.627 95.454 34.803
192.993 95.606 38.408
193.359 95.854 41.429
193.726 96.158 43.698
194.092 96.472 45.192
194.458 96.756 46.021
194.824 96.982 46.382
195.190 97.140 46.499
195.557 97.232 46.576
195.923 97.268 46.765
196.289 97.261 47.175
196.655 97.225 47.900
197.021 97.177 49.032
